Oman,2967717,Asia
Pakistan,184404791,Asia
Palau,19907,Oceania
Palestinian Territory,3800000,Asia
Panama,3410676,North America
Papua New Guinea,6064515,Oceania
Paraguay,6375830,South America
Peru,29907003,South America
Philippines,99900177,Asia
Pitcairn,46,Oceania
Poland,38500000,Europe
Portugal,10676000,Europe
Puerto Rico,3916632,North America
Qatar,840926,Asia
Republic of the Congo,3039126,Africa
Reunion,776948,Africa
Romania,21959278,Europe
Russia,140702000,Europe
Rwanda,11055976,Africa
Saint Barthelemy,8450,North America
Saint Helena,7460,Africa
Saint Kitts and Nevis,51134,North America
Saint Lucia,160922,North America
Saint Martin,35925,North America
Saint Pierre and Miquelon,7012,North America
Saint Vincent and the Grenadines,104217,North America
Samoa,192001,Oceania
San Marino,31477,Europe
Sao Tome and Principe,175808,Africa
Saudi Arabia,25731776,Asia
Senegal,12323252,Africa
Serbia,7344847,Europe
Serbia and Montenegro,10829175,Europe
Seychelles,88340,Africa
Sierra Leone,5245695,Africa
Singapore,4701069,Asia
Sint Maarten,37429,North America
Slovakia,5455000,Europe
Slovenia,2007000,Europe
Solomon Islands,559198,Oceania
Somalia,10112453,Africa
South Africa,49000000,Africa
South Georgia and the South Sandwich Islands,30,Antarctica
South Korea,48422644,Asia
South Sudan,8260490,Africa
Spain,46505963,Europe
Sri Lanka,21513990,Asia
Sudan,35000000,Africa
Suriname,492829,South America
Svalbard and Jan Mayen,2550,Europe
Swaziland,1354051,Africa
Sweden,9828655,Europe
Switzerland,7581000,Europe
Syria,22198110,Asia
Taiwan,22894384,Asia
Tajikistan,7487489,Asia
Tanzania,41892895,Africa
Thailand,67089500,Asia
Togo,6587239,Africa
Tokelau,1466,Oceania
Tonga,122580,Oceania
Trinidad and Tobago,1228691,North America
Tunisia,10589025,Africa
Turkey,77804122,Asia
Turkmenistan,4940916,Asia
Turks and Caicos Islands,20556,North America
Tuvalu,10472,Oceania
Uganda,33398682,Africa
Ukraine,45415596,Europe
United Arab Emirates,4975593,Asia
United Kingdom,62348447,Europe
United States,310232863,North America
United States Minor Outlying Islands,0,Oceania
Uruguay,3477000,South America
U.S. Virgin Islands,108708,North America
Uzbekistan,27865738,Asia
Vanuatu,221552,Oceania
Vatican,921,Europe
Venezuela,27223228,South America
Vietnam,89571130,Asia
Wallis and Futuna,16025,Oceania
Western Sahara,273008,Africa
Yemen,23495361,Asia
Zambia,13460305,Africa
Zimbabwe,13061000,Africa
